gene	pathway
102800317	hsa04710:K08960:[EC:2.7.11.1]
10282	hsa04130:K08504:
10284	hsa03013:K14324:
10284	hsa03015:K14324:
10285	hsa03040:K12839:
10286	hsa03040:K12861:
10288	hsa04380:K06512:
10289	hsa03013:K03113:
1028	hsa04110:K09993:
10291	hsa03040:K12825:
10294	hsa04141:K09503:
10297	hsa04310:K02085:
10297	hsa04390:K02085:
10297	hsa04550:K02085:
10297	hsa04810:K02085:
10297	hsa04934:K02085:
10297	hsa05165:K02085:
10297	hsa05166:K02085:
10297	hsa05200:K02085:
10297	hsa05206:K02085:
10297	hsa05210:K02085:
10297	hsa05213:K02085:
10297	hsa05217:K02085:
10297	hsa05224:K02085:
10297	hsa05225:K02085:
10297	hsa05226:K02085:
10298	hsa04012:K05734:[EC:2.7.11.1]
10298	hsa04014:K05734:[EC:2.7.11.1]
10298	hsa04360:K05734:[EC:2.7.11.1]
10298	hsa04510:K05734:[EC:2.7.11.1]
10298	hsa04660:K05734:[EC:2.7.11.1]
10298	hsa04810:K05734:[EC:2.7.11.1]
10298	hsa05170:K05734:[EC:2.7.11.1]
10298	hsa05206:K05734:[EC:2.7.11.1]
10298	hsa05211:K05734:[EC:2.7.11.1]
10299	hsa04141:K10661:[EC:2.3.2.27]
1029	hsa01522:K06621:
1029	hsa01524:K06621:
1029	hsa04110:K06621:
1029	hsa04115:K06621:
1029	hsa04218:K06621:
1029	hsa04934:K06621:
1029	hsa05163:K06621:
1029	hsa05166:K06621:
1029	hsa05200:K06621:
1029	hsa05203:K06621:
1029	hsa05206:K06621:
1029	hsa05212:K06621:
1029	hsa05214:K06621:
1029	hsa05218:K06621:
1029	hsa05219:K06621:
1029	hsa05220:K06621:
1029	hsa05223:K06621:
1029	hsa05225:K06621:
102	hsa05010:K06704:[EC:3.4.24.81]
102	hsa05120:K06704:[EC:3.4.24.81]
1030	hsa04068:K04685:
1030	hsa04110:K04685:
1030	hsa04218:K04685:
1030	hsa04350:K04685:
1030	hsa04934:K04685:
1030	hsa05166:K04685:
1030	hsa05200:K04685:
1030	hsa05203:K04685:
1030	hsa05222:K04685:
1030	hsa05226:K04685:
