Entry	code	Scientific_name	txid	Common_name	Taxonomic_classification
T04135	sind	Sesamum indicum	4182	sesame	Eukaryotes; Plants; Eudicots; Sesame family
T05244	oeu	Olea europaea var. sylvestris		wild olive	Eukaryotes; Plants; Eudicots; Olive family
T05101	han	Helianthus annuus	4232	common sunflower	Eukaryotes; Plants; Eudicots; Daisy family
T05352	lsv	Lactuca sativa	4236	garden lettuce	Eukaryotes; Plants; Eudicots; Daisy family
T05350	dcr	Daucus carota	4039	carrot	Eukaryotes; Plants; Eudicots; Parsley family
T03548	bvg	Beta vulgaris	161934	sugar beet	Eukaryotes; Plants; Eudicots; Amaranth family
T05137	soe	Spinacia oleracea	3562	spinach	Eukaryotes; Plants; Eudicots; Amaranth family
T04131	nnu	Nelumbo nucifera	4432	sacred lotus	Eukaryotes; Plants; Eudicots; Lotus family
T01015	osa	Oryza sativa japonica		Japanese rice	Eukaryotes; Plants; Monocots; Grass family
T02163	dosa	Oryza sativa japonica		Japanese rice	Eukaryotes; Plants; Monocots; Grass family
T02995	obr	Oryza brachyantha	4533	malo sina	Eukaryotes; Plants; Monocots; Grass family
T01717	bdi	Brachypodium distachyon	15368		Eukaryotes; Plants; Monocots; Grass family
T04345	ats	Aegilops tauschii	37682	wheat D	Eukaryotes; Plants; Monocots; Grass family
T01086	sbi	Sorghum bicolor	4558	sorghum	Eukaryotes; Plants; Monocots; Grass family
T01088	zma	Zea mays	4577	maize	Eukaryotes; Plants; Monocots; Grass family
T02818	sita	Setaria italica	4555	foxtail millet	Eukaryotes; Plants; Monocots; Grass family
T03274	pda	Phoenix dactylifera	42345	date palm	Eukaryotes; Plants; Monocots; Palm family
T03921	egu	Elaeis guineensis	51953	African oil palm	Eukaryotes; Plants; Monocots; Palm family
T03447	mus	Musa acuminata	4641	wild Malaysian banana	Eukaryotes; Plants; Monocots; Banana family
T05027	dct	Dendrobium officinale	142615		Eukaryotes; Plants; Monocots; Orchid family
T05243	aof	Asparagus officinalis	4686	garden asparagus	Eukaryotes; Plants; Monocots; Asparagus family
T02990	atr	Amborella trichopoda	13333		Eukaryotes; Plants; Basal Magnoliophyta; Amborella family
T01496	smo	Selaginella moellendorffii	88036		Eukaryotes; Plants; Ferns
T01041	ppp	Physcomitrella patens subsp. patens			Eukaryotes; Plants; Mosses
T01039	cre	Chlamydomonas reinhardtii	3055		Eukaryotes; Plants; Green algae
T01330	vcn	Volvox carteri f. nagariensis			Eukaryotes; Plants; Green algae
T05028	mng	Monoraphidium neglectum	145388		Eukaryotes; Plants; Green algae
T01029	olu	Ostreococcus lucimarinus			Eukaryotes; Plants; Green algae
T01358	ota	Ostreococcus tauri	70448		Eukaryotes; Plants; Green algae
T03089	bpg	Bathycoccus prasinos	41875		Eukaryotes; Plants; Green algae
T02695	mis	Micromonas commoda	296587		Eukaryotes; Plants; Green algae
T02696	mpp	Micromonas pusilla	38833		Eukaryotes; Plants; Green algae
T02914	csl	Coccomyxa subellipsoidea	248742		Eukaryotes; Plants; Green algae
T02924	cvr	Chlorella variabilis	554065		Eukaryotes; Plants; Green algae
T04132	apro	Auxenochlorella protothecoides	3075		Eukaryotes; Plants; Green algae
T00175	cme	Cyanidioschyzon merolae	45157		Eukaryotes; Plants; Red algae
T02926	gsl	Galdieria sulphuraria	130081		Eukaryotes; Plants; Red algae
T02916	ccp	Chondrus crispus	2769	carragheen	Eukaryotes; Plants; Red algae
T00005	sce	Saccharomyces cerevisiae	4932	budding yeast	Eukaryotes; Fungi; Ascomycetes; Saccharomycetes
T00167	ago	Ashbya gossypii		Eremothecium gossypii	Eukaryotes; Fungi; Ascomycetes; Saccharomycetes
T02237	erc	Eremothecium cymbalariae	45285		Eukaryotes; Fungi; Ascomycetes; Saccharomycetes
T01025	kla	Kluyveromyces lactis	28985		Eukaryotes; Fungi; Ascomycetes; Saccharomycetes
T05269	kmx	Kluyveromyces marxianus	4911		Eukaryotes; Fungi; Ascomycetes; Saccharomycetes
T01117	lth	Lachancea thermotolerans	381046		Eukaryotes; Fungi; Ascomycetes; Saccharomycetes
