Coxiella endosymbiont of Amblyomma americanum	325775
Coxiella-like endosymbiont	1592897
Legionella pneumophila	446
Legionella longbeachae	450
Legionella fallonii	96230
Legionella hackeliae	449
Legionella oakridgensis	29423
Legionella clemsonensis	1867846
Legionella endosymbiont of Polyplax serrata	2005262
Legionella sainthelensi	28087
Legionella lansingensis	45067
Tatlockia micdadei	451
Methylococcus capsulatus	414
Methylomonas methanica	421
Methylomonas denitrificans	1538553
Methylomonas sp. DH-1	1727196
Methylomonas koyamae	702114
Methylomicrobium alcaliphilum	271065
Methylovulum psychrotolerans	1704499
Francisella tularensis	263
Francisella philomiragia	28110
Francisella sp. TX077308	573569
Francisella noatunensis	657445
Francisella sp. FSC1006	1547445
Francisella persica	954
Francisella hispaniensis	622488
Francisella halioticida	549298
Francisella sp. TX077310	573570
Francisella sp. MA067296	475375
Allofrancisella guangzhouensis	594679
Hydrogenovibrio crunogenus	39765
Thiomicrospira cyclica	147268
Thiomicrospira aerophila	92245
Methylophaga nitratireducenticrescens	754476
Methylophaga frappieri	754477
Cycloclasticus sp. P1	385025
Cycloclasticus zancles	1329899
Cycloclasticus sp. PY97N	728003
Piscirickettsia salmonis	1238
Thioploca ingrica	40754
Beggiatoa leptomitoformis	288004
